feature,freq
Harley Davidson is een merk,4
Jo met de banjo,13
Luc Steeno heeft er een liedje over gemaakt,4
Toots Tielemans,12
absorbeert vocht,7
andere naam: schuiftrompet,6
bak je vlees in,11
bebouwde 'kom' is woonwijk,4
begeleidt (andere) muziek,17
behoort tot bedrijf,9
behoort tot openbaar vervoer,20
behoort tot servies,10
beschadigt gevoelige oppervlaktes,4
beschermen je voeten,8
beschermt je oren tegen de kou,4
beschermt je tegen de kou,34
beschermt tegen de regen,24
beschermt tegen de wind,7
beschermt tegen de zon,20
bespeeld door een drummer,9
bespeeld door een organist,8
bespeeld met plectrum,10
bespeeld tijdens concerten,23
bespeelt men staande,5
bestaat al lang,110
bestaat in verschillende diktes,9
bestaat in verschillende formaten,32
bestaat in verschillende groottes,121
bestaat in verschillende kleuren,730
bestaat in verschillende kleuren en verschillende vormen,4
bestaat in verschillende lengtes,9
bestaat in verschillende maten,290
bestaat in verschillende merken,46
bestaat in verschillende modellen,43
bestaat in verschillende soorten,155
bestaat in verschillende vormen,166
bestaat nog niet zo lang,8
bestaat ook als zitmaaier,5
bestaat per twee,15
bestaat uit broek en trui,5
bestaat uit hemd,5
bestaat uit twee delen,25
bestaat uit verschillende delen,18
bestaat uit verschillende gebogen staven,4
bestaat uit verschillende materialen,6
bestaat uit vest,10
bestaat uit één geheel,14
bestuurder draagt helm,22
bestuurder draagt leren kleding,6
bestuurder is zwakke weggebruiker,4
bevat dikwijls plant,5
bevat drank,38
bevat een vloeistof,12
bevat kogels,54
bevat rijst,4
bevindt zich in een museum,8
bevindt zich in een werkplaats,7
bevindt zich op een schip,8
blinkt,30
breit je oma,6
brengt sfeer,12
brood springt eruit,5
chauffeurs zitten lange tijd achter stuur,4
daar hak je hout mee,40
de maten worden aangeduid met nummers,4
dienen om je handen warm te houden,10
dient om blik te openen,25
dient om borsten te ondersteunen,7
dient om brood te roosteren,29
dient om brood te smeren,6
dient om de aarde om te spitten,4
dient om de kookpot leeg te maken,6
dient om de tafel te beschermen,31
dient om dingen in op te bergen,43
dient om dingen mee door te knippen,21
dient om dingen te wegen,33
dient om een boomhut mee te maken,4
dient om eten in te bewaren,33
