feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
Harley Davidson is een merk,2,-3,2,-3,2,-2,0,1,2,3,-3,-3,-0.16666666666666666,2.443296332763787
behoort tot bedrijf,-1,-2,-1,-3,1,-2,1,0,-2,2,-3,-2,-1.0,1.651445647689541
behoort tot openbaar vervoer,2,-2,2,1,2,3,2,-2,-2,1,0,2,0.75,1.815338686155987
bestaat al lang,0,3,3,-2,-2,-3,1,3,1,0,-3,-3,-0.16666666666666666,2.4058010698889443
bestaat in verschillende formaten,3,3,3,2,0,1,1,1,2,-1,2,2,1.5833333333333333,1.2401124093721456
bestaat in verschillende kleuren,3,3,3,3,-2,3,0,2,1,-2,0,2,1.3333333333333333,1.9227505550564006
bestaat in verschillende kleuren en verschillende vormen,3,3,3,3,-1,1,0,1,1,-3,2,-3,0.8333333333333334,2.2087978356535665
bestaat in verschillende merken,3,3,3,3,-3,-3,-3,3,1,-1,2,-3,0.4166666666666667,2.7784342658585555
bestaat in verschillende modellen,2,3,3,2,0,1,1,1,1,-2,2,2,1.3333333333333333,1.3706888336846836
bestaat in verschillende soorten,3,3,3,3,0,3,0,3,1,-1,3,2,1.9166666666666667,1.5050420310248864
bestaat in verschillende vormen,3,3,3,3,0,3,1,1,2,-1,2,-3,1.4166666666666667,1.928651593652148
bestuurder draagt helm,1,-3,1,0,1,-1,1,1,0,2,-3,0,0.0,1.5954480704349312
bestuurder draagt leren kleding,-3,-3,-2,-3,0,-1,-3,0,-3,3,-3,-3,-1.75,1.9128750375000738
bestuurder is zwakke weggebruiker,-1,1,-1,-3,2,1,2,1,-2,3,-3,2,0.16666666666666666,2.0816659994661326
chauffeurs zitten lange tijd achter stuur,-2,1,-2,-3,2,-2,2,3,-1,2,-2,2,0.0,2.174229226018436
dient om mee te rijden,3,-1,3,2,-2,2,2,3,2,0,3,3,1.6666666666666667,1.7232808737106584
drijft op water,-1,-1,2,1,3,1,1,-2,-1,2,-2,-1,0.16666666666666666,1.696699112626596
er is veel plaats in,1,1,-1,0,0,1,0,1,1,1,-3,3,0.4166666666666667,1.4433756729740643
er is weinig plaats,-3,2,3,1,-1,1,-1,1,-1,1,-3,-1,-0.08333333333333333,1.880924981991251
er komt rook uit,0,-2,2,-2,0,1,0,1,1,1,-3,0,-0.08333333333333333,1.5050420310248864
er komt vuur uit onderaan,-3,-2,-2,-3,1,1,2,-2,-2,2,-3,-3,-1.1666666666666667,2.0375267241229382
er staat reclame op,-2,-3,-1,-2,-2,-2,-2,0,0,1,-3,-3,-1.5833333333333333,1.3113721705515065
gaat snel,2,3,3,2,1,2,-1,1,2,2,0,2,1.5833333333333333,1.164500152881315
gaat tot op grote diepte,-3,-1,2,-3,2,2,1,2,-1,3,-3,-3,-0.16666666666666666,2.4058010698889443
gaat traag,-1,-3,1,0,-2,1,1,-2,-1,0,0,-2,-0.6666666666666666,1.3706888336846839
gebruikt door de kerstman,-3,-3,2,-3,1,-2,0,-3,-1,2,-3,2,-0.9166666666666666,2.1933093855190746
gebruikt door mannen,-1,-3,-2,1,-1,-2,-2,1,-1,0,-3,-3,-1.3333333333333333,1.4354811251305468
gemaakt uit hout,-3,-3,0,-2,2,0,1,1,-1,1,-2,-3,-0.75,1.815338686155987
gemaakt uit metaal,2,1,3,3,0,1,1,1,1,0,1,0,1.1666666666666667,1.0298573010888745
glijdt op sneeuw,-2,-3,2,-3,2,1,1,2,-1,2,0,-2,-0.08333333333333333,2.0207259421636903
glijdt van helling,-3,-3,-1,-3,2,2,1,1,-1,2,-3,1,-0.4166666666666667,2.151461800448216
heeft 1ste en 2de klasse,-3,-2,1,0,2,-2,0,1,0,2,-2,2,-0.08333333333333333,1.7816403745544227
heeft 2 of 4 wielen,3,1,2,2,1,1,1,1,0,1,-2,3,1.1666666666666667,1.337115846843043
heeft 2 wielen,2,-1,2,1,3,2,1,-2,-3,1,-1,1,0.5,1.834021909257456
heeft 4 wielen,2,-1,-2,1,3,0,1,2,0,2,-1,3,0.8333333333333334,1.642245321798694
heeft 4x4 aandrijving,0,-3,0,-3,-2,1,-2,-2,-1,2,-3,-3,-1.3333333333333333,1.7232808737106582
heeft aanhangwagen,-2,-1,-1,-3,1,1,1,0,-1,1,-3,-3,-0.8333333333333334,1.642245321798694
heeft automatische deuren,-1,-2,-1,-2,0,-2,-2,-2,0,0,-3,1,-1.1666666666666667,1.1934162828797101
heeft banden,3,-1,3,2,2,0,2,1,0,0,2,3,1.4166666666666667,1.378954368902449
heeft benzinegeur,1,2,3,0,-2,-1,1,1,-1,1,-1,0,0.3333333333333333,1.4354811251305468
heeft deuren,3,-1,1,2,2,-1,1,1,2,1,-3,2,0.8333333333333334,1.6966991126265962
heeft dikke banden,-2,-1,3,-1,1,-2,1,2,-1,1,-1,-2,-0.16666666666666666,1.696699112626596
heeft een anker,-3,-1,0,-3,1,-2,1,1,-1,3,-3,-3,-0.8333333333333334,2.0375267241229382
heeft een bed,-3,-3,-2,-2,1,1,1,0,-1,2,-3,-2,-0.9166666666666666,1.8319554050414564
heeft een bel,1,-3,3,1,0,-3,1,1,0,1,-3,0,-0.08333333333333333,1.9286515936521476
heeft een bordje 'TAXI' op auto,-1,-2,-1,-3,3,3,1,1,-3,3,-2,-3,-0.3333333333333333,2.424621182533032
heeft een brander,-3,-1,1,-3,1,1,2,-2,-1,0,-3,-3,-0.9166666666666666,1.880924981991251
heeft een cabine,-3,-1,-1,0,0,0,1,1,-1,1,1,-3,-0.4166666666666667,1.4433756729740643
heeft een chauffeur,3,3,2,1,2,3,1,3,2,2,3,3,2.3333333333333335,0.7784989441615231
heeft een claxon,2,-3,3,1,0,-2,1,1,1,1,-3,3,0.4166666666666667,2.0652243256245835
heeft een conducteur,1,-3,-2,-2,2,-1,2,0,-1,3,-3,2,-0.16666666666666666,2.1248885888797826
heeft een dak of geen dak,1,3,3,3,0,2,0,1,0,-1,-3,2,0.9166666666666666,1.8319554050414564
heeft een dode hoek,0,1,3,0,0,-2,3,0,-1,2,-3,-3,0.0,2.04494943258218
heeft een donkere kleur,2,-3,3,-3,-2,-2,0,1,0,-3,-3,-1,-0.9166666666666666,2.108783937953269
heeft een groot vermogen,-2,1,2,0,-1,-2,1,1,1,1,-1,-3,-0.16666666666666666,1.5859229221975182
heeft een keuken,-2,-3,-3,-2,0,1,1,1,-1,3,-3,-3,-0.9166666666666666,2.0652243256245835
heeft een laadruimte,2,3,2,1,2,0,2,2,1,1,-2,-1,1.0833333333333333,1.4433756729740643
heeft een mand,-3,-2,-2,-3,-2,1,1,0,-1,1,-3,-3,-1.3333333333333333,1.6696942198734437
heeft een motor,3,3,2,2,3,1,1,3,2,0,1,3,2.0,1.044465935734187
heeft een opvallende kleur,0,1,1,-3,-2,-2,-2,1,-2,-3,-3,-3,-1.4166666666666667,1.6764862244009227
heeft een periscoop,-3,-1,-3,-3,-1,-3,2,-3,-2,3,-3,-3,-1.6666666666666667,2.103388319888276
heeft een rem,3,1,3,3,0,0,1,1,2,1,-3,3,1.25,1.764549903980152
heeft een rem achteraan,0,-2,-1,-3,0,1,1,2,-1,-1,-3,2,-0.4166666666666667,1.729862492345632
heeft een reservewiel achteraan,-1,-1,2,-1,-1,-2,0,-3,-1,1,-3,2,-0.6666666666666666,1.6696942198734437
heeft een rieten mand,-3,-3,-3,-3,-1,1,1,1,-2,2,-3,-3,-1.3333333333333333,2.0150945537631877
heeft een roer,0,-1,2,-2,2,-1,2,1,-2,3,-3,-1,0.0,1.954016841836789
heeft een slaapplaats,0,-1,-2,-2,3,1,1,2,-2,3,-2,-2,-0.08333333333333333,2.0207259421636907
heeft een snelheidsbeperking,1,3,3,-1,1,1,2,3,2,1,1,2,1.5833333333333333,1.1645001528813148
heeft een staart,-3,1,2,-2,0,-3,-1,-3,-2,2,-2,-3,-1.1666666666666667,1.9462473604038075
heeft een stuur,3,3,3,3,1,1,1,3,2,-2,3,3,2.0,1.5374122295716148
heeft een tachograaf,-3,-1,-3,-3,0,-2,1,0,-1,3,-3,-3,-1.25,1.9598237397554634
heeft een zadel,1,-1,0,1,1,2,1,1,-1,2,-3,1,0.4166666666666667,1.4433756729740643
heeft een zeil,-2,-2,1,-2,2,2,1,-3,-1,3,-3,-3,-0.5833333333333334,2.2343733444579588
heeft een zware motor,-1,-1,-2,-1,1,-1,-1,1,0,1,-2,-3,-0.75,1.2880570286640687
heeft elektrische leidingen bovenaan,-1,-2,2,-1,-1,-2,1,0,-1,3,-3,2,-0.25,1.864744681524183
heeft felle kleuren,1,3,1,0,-3,-2,-3,-2,0,-1,-3,-2,-0.9166666666666666,1.928651593652148
heeft geen dak,1,-3,-1,-2,1,2,1,0,-3,1,-3,-2,-0.6666666666666666,1.8748737331221843
heeft geen motor,-3,-1,0,1,3,1,2,0,-2,2,-2,2,0.25,1.9128750375000738
heeft grote banden,0,0,3,0,2,-2,1,1,0,2,-2,-3,0.16666666666666666,1.80067327475704
heeft grote wielen,-1,-2,2,0,2,-2,1,-1,-1,1,-2,1,-0.16666666666666666,1.5275252316519465
heeft ijzer onderaan,1,2,1,-1,0,-1,1,-3,1,-1,-3,-3,-0.5,1.7837651700316894
heeft kleine ramen,-1,-2,-2,-1,1,1,1,-2,-2,1,-2,-1,-0.75,1.3568010505999362
heeft kleine wielen,-1,-1,-2,1,1,1,1,1,-1,1,-2,-3,-0.3333333333333333,1.497472618255253
heeft lichten,2,3,3,3,1,1,1,3,2,0,3,3,2.0833333333333335,1.0836246694508316
heeft meestal een cruise-control-systeem (automatische piloot),-3,-2,-2,-3,0,0,-2,-3,-1,3,-1,-3,-1.4166666666666667,1.781640374554423
heeft minstens 4 wielen,-1,-3,-3,-3,1,-1,1,2,-1,1,-3,2,-0.6666666666666666,2.015094553763188
heeft palen om je vast te houden,-3,-3,2,-3,0,1,-2,1,-3,1,-3,2,-0.8333333333333334,2.167249338901663
heeft pedalen,-1,-1,1,0,2,1,2,1,-1,3,-3,2,0.5,1.7320508075688772
heeft propeller,-3,-1,0,-2,2,-2,2,-2,-1,3,-2,-3,-0.75,2.050498830661811
heeft ramen,2,-1,2,1,2,2,0,-1,2,-1,-3,3,0.6666666666666666,1.8257418583505536
heeft rokers- en niet-rokersruimtes,-2,-1,-2,-1,-2,-2,0,-3,-1,2,-2,-1,-1.25,1.2880570286640687
heeft schuifdeuren,-2,-2,-3,0,0,-2,0,-3,-2,1,-3,-1,-1.4166666666666667,1.378954368902449
heeft stinkende uitlaatgassen,1,1,2,1,-3,-1,2,3,1,0,-3,-2,0.16666666666666666,1.9924098397912438
heeft versnellingen,2,2,3,2,1,-1,0,1,2,0,-2,3,1.0833333333333333,1.5642792899510296
heeft vleugels,-2,-2,1,0,3,3,2,0,1,3,-3,-3,0.25,2.3011854652449344
heeft voorrang in het verkeer,1,-1,3,-3,1,2,3,0,-1,2,-3,-3,0.08333333333333333,2.2746961169005466
heeft wagons,-1,-2,2,0,2,1,2,0,0,2,-3,2,0.4166666666666667,1.729862492345632
heeft wielen,3,1,3,3,3,-1,2,3,2,0,2,3,2.0,1.348399724926484
heeft zandzakjes,-3,-3,-2,-3,0,-2,0,2,-2,0,-3,-3,-1.5833333333333333,1.6764862244009227
heeft zitjes,2,3,3,1,1,2,0,1,2,0,3,2,1.6666666666666667,1.0730867399773196
helm dragen is verplicht,0,-1,3,-1,2,1,2,1,-2,2,-1,0,0.5,1.5666989036012806
het gebruiken geeft een kick,0,-1,-3,-2,-3,0,-3,2,0,1,-3,2,-0.8333333333333334,1.9462473604038073
het gebruiken is leuk,0,1,3,0,-2,-2,-3,-2,0,1,0,1,-0.25,1.712255291076124
het is er druk,1,-2,2,0,-2,2,0,1,-1,2,-3,1,0.08333333333333333,1.7298624923456323
het is er meestal warm in,1,1,1,-2,-2,2,-3,1,-2,0,0,1,-0.16666666666666666,1.6422453217986943
het is in de mode,-1,-1,3,-3,-3,-1,-3,3,0,0,-3,-1,-0.8333333333333334,2.1248885888797826
het is moeilijk om het te leren gebruiken,-1,1,3,-1,-2,1,-2,0,-1,1,0,-2,-0.25,1.5447859516333116
het oogt stoer,-3,-2,-2,-3,-3,-1,-2,1,1,2,-2,-2,-1.3333333333333333,1.723280873710658
het weegt veel,2,1,-1,1,0,-2,0,2,1,-1,0,1,0.3333333333333333,1.2309149097933272
is bedrukt met de naam van bedrijf,-3,-3,-3,-2,0,-2,0,-2,-1,2,-3,-3,-1.6666666666666667,1.6143297699232975
is bemand,2,3,3,3,1,2,1,3,-2,-1,3,2,1.6666666666666667,1.6696942198734437
is bruin,-3,-1,-3,-2,-3,-3,0,-1,-2,-3,-3,-3,-2.25,1.0552897060221726
is comfortabel,2,1,2,1,-1,1,1,2,0,0,0,2,0.9166666666666666,0.996204919895622
is cool,-1,-2,-1,-3,-2,-2,-3,3,0,1,-3,1,-1.0,1.9069251784911847
is duur,1,3,1,1,-2,2,-3,3,1,0,-2,-3,0.16666666666666666,2.167249338901663
is een auto,3,-2,3,1,2,3,2,3,0,3,-2,3,1.5833333333333333,1.9286515936521476
is een boot,0,-2,3,0,2,2,2,2,-2,3,-3,-2,0.4166666666666667,2.1933093855190746
is een gemotoriseerde fiets,1,-3,2,-3,1,1,1,0,0,3,-3,1,0.08333333333333333,2.0207259421636903
is een huis op wielen,-1,-3,2,-2,1,2,2,-3,-1,3,-3,-2,-0.4166666666666667,2.2746961169005466
is een huisje,-1,-2,-2,-3,-1,1,2,-3,-1,3,-3,-2,-1.0,2.0
is een plank,-3,-3,-2,-3,2,1,1,2,-2,3,-3,-3,-0.8333333333333334,2.405801069888944
is een plank op wielen,-3,-3,1,-3,1,1,2,1,-1,3,-3,-3,-0.5833333333333334,2.314316444667973
is een synoniem voor ar,-3,-1,2,-3,1,3,2,-3,-2,3,-3,-3,-0.5833333333333334,2.574643252722186
is een technologische hoogstandje,1,-1,-1,-1,-1,2,-1,3,2,1,0,-3,0.08333333333333333,1.729862492345632
is een transportmiddel,3,3,3,2,3,2,3,3,2,-3,3,3,2.25,1.712255291076124
is een transportmiddel op water,0,-1,3,1,3,2,1,1,-1,3,-2,-2,0.6666666666666666,1.8748737331221843
is een tv-programma,-3,-3,-3,-3,-1,-3,-3,-3,-2,1,-3,-3,-2.4166666666666665,1.2401124093721456
is een voertuig,3,3,3,3,2,3,3,2,2,-2,3,3,2.3333333333333335,1.4354811251305468
is een vrachtwagen,2,-1,2,-1,2,1,1,1,-2,3,-1,1,0.6666666666666666,1.556997888323046
is een wagen,3,-1,0,1,2,2,2,2,0,2,-1,2,1.1666666666666667,1.337115846843043
is geel,-3,-3,-2,-3,-3,-3,-3,1,-1,-3,-3,-3,-2.4166666666666665,1.2401124093721456
is geliefd bij Nederlanders,1,-3,2,-3,-3,-2,1,-3,0,1,-3,0,-1.0,2.0
is gemaakt van hout of metaal,-3,2,2,1,2,-1,0,1,1,1,1,-3,0.3333333333333333,1.775250729197189
is gemaakt van staal,1,3,3,0,0,-2,1,1,1,-2,1,0,0.5833333333333334,1.5642792899510294
