feature,freq
Popeye,18
Vlaamse kost,4
aantrekkelijk voor insecten,6
afgereden door landbouwmachines,4
afschrikmiddel voor vampieren,8
als gerecht met hesp en kaas,6
aperitiefhapje,9
bestaat in verschillende groottes,9
bestaat in verschillende kleuren,8
bestaat in verschillende soorten,33
bestaat uit draadjes,8
bevat veel ijzer,16
bevat veel water,21
bevat vitaminen,15
bevat zetmeel,8
bij de groentenboer kopen,8
bobbeltjes erop,5
bruine kleur,18
buisvormig,6
chips,6
de wortel is een onderdeel van een plant,8
doe je in het eten,4
donkergroene kleur,4
doordringende geur,6
een weinig bekende groente,4
eet het gehakt,4
eet je met tomatensaus,4
eetbaar,100
er zitten vaak slakken op,4
eten met witte saus,21
eten met worteltjes,10
eten voor konijnen,15
familie van de courgette,4
familie van komkommer,4
familie van kool,19
ge kunt ermee smijten,5
gebruikt men voor soep,119
gebruikt tijdens maaltijden,6
gebruikt voor broodjes,14
geeft smaak aan gerechten,14
gegeten met aardappelen,14
gemalen tot witte bloem - maïzena,4
geribbelde structuur,4
geurloos,28
glanzend,4
goed voor het bloed,5
groeien in bossen,10
groeit,8
groeit aan bomen,4
groeit aan een kolf,13
groeit aan een plant,31
groeit aan stengels,4
groeit aan struik,8
groeit in België,33
groeit in de grond,112
groeit in de moestuin,27
groeit in de tuin,62
groeit in de winter,9
groeit in een serre,11
groeit in gematigde streken,5
groeit in het donker,7
groeit in kroppen,9
groeit in mest,4
groeit in trossen,12
groeit in warme streken,8
groeit laag bij de grond,5
groeit onder de grond,33
groeit op het veld,32
groeit op vochtige plekken,5
groeit snel,4
groen vanbinnen,4
groene kleur,254
grote bladeren,5
heeft bladeren,39
heeft bloemen,4
heeft een aparte smaak,4
heeft een bruine schil,11
heeft een groene stengel,12
heeft een kern,4
heeft een kroontje,7
heeft een schil,24
heeft een staartje,4
heeft een stengel,53
heeft groen loof,9
heeft groene bladeren,47
heeft kleine blaadjes,27
heeft loof,8
heeft nerven,4
heeft ogen,4
heeft pitten,32
heeft punt,4
heeft sporen,7
heeft verschillende lagen,23
heeft water nodig,8
heeft wortels,37
heeft zonlicht nodig om te groeien,4
het is fris,7
het is wit of groen,14
het smaakt bitter,50
hoort bij tomaten,9
in azijn bewaard,9
in de zomer,35
in het zuur,5
in kleine stukjes snijden,23
in schijfjes,10
in sla,14
in spaghetti,29
"is ""boerenkost""",4
is Europees,9
is dik,7
is dun,5
is een bladgroente,5
is een groente,317
is een hoopje bladeren,9
is een inheemse groente,15
is een kruid,23
is een plant,11
is een vrucht,7
is een wintergroente,28
is geel,30
is gezond,100
is glad,9
is goed voor de ogen,5
is goedkoop,14
is hard,24
is klein,54
is lang,34
is lang en smal,6
is langwerpig,48
is lekker met cocktailsaus,5
is niet lekker,48
is oranje,20
is ovaal,17
is paars,19
is peulvrucht,10
is pikant,10
is rond,89
is rood,64
"is rood, groen of geel",13
is sappig,32
is smal,5
is soort schimmel,5
is typisch Belgisch,16
is voedsel,18
is voedzaam,19
is vrij groot,20
is wit,120
is wit of rood van kleur,8
is wit vanbinnen,15
je kan het koken of rauw opeten,17
je kan het zelf kweken,10
kan geraspt worden,5
kan in diepvries bewaard worden,12
kan je 'afpellen',11
kan je heel 't jaar eten,6
kan je koken,24
kan je kopen in de winkel,22
kan je kopen op de markt,5
kan je puree van maken,15
kan je rauw eten,34
kan men bakken,10
kan men koud eten,7
kan op verschillende wijzen bereid worden,4
kan verschillende vormen aannemen,6
kan warm gegeten worden,15
kan warm of koud gegeten worden,8
kindjes knutselen ermee,5
kindjes kwamen vroeger uit een bloemkool,11
kippenvoer,6
klaargemaakt met room,5
klaarmaken met saus,7
kleine bolletjes,5
kleine kool,10
kleine stukjes,4
knapperig,9
knol,29
komt oorspronkelijk van Amerika,9
komt uit bokalen,9
komt uit de grond,5
krimpen bij het koken,4
krom,7
kunnen geplant worden,13
landbouw,4
lang houdbaar,6
leidt tot slechte adem,10
lekker,119
lekker koud,4
lekker met mayonaise,7
lekker met vlees,5
lente,4
ligt zwaar op de maag,5
lijkt op ajuin,6
lijkt op asperges,6
lijkt op een komkommer,15
lookboter,5
maak je klaar met appeltjes,8
maakt men suiker van,13
mals om te eten,5
met aarde,7
met een broodje americain,4
met groene kop,5
moet geschild worden,14
niet geliefd bij kinderen,20
noemt ook eierplant,4
om te eten,24
past bij worst,8
peervormig,5
persen in lookpers,5
pikt in de ogen,19
plant,21
popcorn van maken,13
potentieverhogend,5
rare vorm,9
ruikt lekker,11
ruikt niet lekker,27
ruikt speciaal,9
ruikt sterk,6
ruikt zoet,4
ruw oppervlak,5
scherpe smaak,7
smaakt flauw,29
smaakt fris,5
smaakt lekker bij kaas,4
smaakt lekker met zout,7
smaakt straf,11
smaakt zacht,6
smaakt zoet,31
smaakt zuur,23
stam,6
struik,5
suiker toevoegen,4
te koop,6
uitdrukking,4
vaak in blik verkocht,12
vaak op pizza's,11
vaak samen met kaassaus,10
vanbuiten donker roze,4
veel gebruikt ingrediënt,4
veel kleurstof,6
veel kuiswerk,20
veel mensen lusten dit niet,6
veevoeder,12
vers,5
verschillende teentjes,13
vezelig,4
vies,7
voor paard Sinterklaas,5
voortplantingsfunctie,4
vormt de basis voor heel wat sauzen,9
vruchtvlees,7
weegt zwaar,6
weinig calorieën,5
werd vooral vroeger gegeten,4
word je sterk van,13
word je winderig van,9
worden vaak verkocht in bakjes,6
wordt als garnituur gebruikt,25
wordt gebruikt in de keuken,25
wordt gebruikt in salade,28
wordt gedroogd,4
wordt gegeten,22
wordt gegeten bij barbecue,7
wordt gegeten door dieren,6
wordt gegeten in een koude schotel,15
wordt gekookt,27
wordt gekweekt,12
wordt geoogst,12
wordt gestoofd,13
wordt geteeld,8
wordt geteeld door boeren,19
wordt gezaaid,12
wordt in bussels verkocht,14
wordt in veel gerechten gebruikt,23
wordt met frieten gegeten,16
wordt op hamburgers gedaan,5
wordt op water gekweekt,6
wordt samen met erwtjes gegeten,7
wordt snel slecht,11
wordt vaak bereid met hesp,11
wordt vaak met Brussel geassocieerd,8
wordt verkocht op de veiling,4
wordt vooral in de winter gegeten,19
zacht,12
zijn duur,9
zijn korreltjes op een kolf,11
zijn paddestoelen,4
zijn soms giftig,8
zit in potten,7
zitten in een peul,6
zitten zaadjes in,17
zuiders,7
